,DATANO,DATACD,DATANM,AREACD,AREANM,time1,time2,time3,time4,time5,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,RGN21CD,RGN21NM
1441,8.0,data8,Protective measures,E07000078,Cheltenham,102.6076,103.5608,103.2125,100.3011,100.6696,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
1455,8.0,data8,Protective measures,E07000079,Cotswold,110.279,112.5124,112.8549,108.4065,110.0291,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
1469,8.0,data8,Protective measures,E07000080,Forest of Dean,112.4207,112.8093,116.4218,109.3498,111.7197,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
1483,8.0,data8,Protective measures,E07000081,Gloucester,100.2955,99.79516,101.7027,98.80444,98.4089,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
1497,8.0,data8,Protective measures,E07000082,Stroud,113.3632,113.947,114.375,110.1909,111.5148,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
1511,8.0,data8,Protective measures,E07000083,Tewkesbury,113.6858,114.5254,110.787,110.082,109.8963,,,,,,,,,,,,,,,,,,,,,,E12000009,South West
1525,8.0,data8,Protective measures,E07000084,Basingstoke and Deane,99.60683,99.76882,99.14972,98.99415,100.1135,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1539,8.0,data8,Protective measures,E07000085,East Hampshire,106.0312,108.2095,105.2062,105.2126,105.9499,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1553,8.0,data8,Protective measures,E07000086,Eastleigh,109.4022,108.4774,106.9593,104.7751,106.5071,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1567,8.0,data8,Protective measures,E07000087,Fareham,119.2851,116.8893,109.8197,110.1173,109.608,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1581,8.0,data8,Protective measures,E07000088,Gosport,117.231,112.9987,103.0173,101.5465,100.7138,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1595,8.0,data8,Protective measures,E07000089,Hart,103.7915,102.5469,103.1654,102.7065,104.9492,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1609,8.0,data8,Protective measures,E07000090,Havant,110.2628,109.6525,102.2384,102.583,104.2717,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1623,8.0,data8,Protective measures,E07000091,New Forest,106.3639,107.7305,107.4634,107.0355,109.2158,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1637,8.0,data8,Protective measures,E07000092,Rushmoor,95.01101,92.60748,90.58307,89.99935,94.09685,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1651,8.0,data8,Protective measures,E07000093,Test Valley,106.4128,105.7342,102.2803,102.6994,104.1829,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1665,8.0,data8,Protective measures,E07000094,Winchester,108.7379,108.0809,106.7281,105.1465,106.8816,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1679,8.0,data8,Protective measures,E07000095,Broxbourne,104.2169,105.7587,103.1287,103.3815,104.6239,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
1693,8.0,data8,Protective measures,E07000096,Dacorum,102.0044,102.6032,101.424,99.00803,96.6857,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
1707,8.0,data8,Protective measures,E07000098,Hertsmere,97.39072,96.27709,95.15649,92.62857,89.73398,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
1721,8.0,data8,Protective measures,E07000099,North Hertfordshire,108.2418,110.155,109.1376,109.3326,111.0697,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
1735,8.0,data8,Protective measures,E07000102,Three Rivers,100.6474,100.2174,99.28653,96.18311,93.20983,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
1749,8.0,data8,Protective measures,E07000103,Watford,94.74343,95.10091,94.83517,90.61969,87.8219,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
1763,8.0,data8,Protective measures,E07000105,Ashford,102.0337,106.1674,109.1017,105.1375,105.4527,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1777,8.0,data8,Protective measures,E07000106,Canterbury,97.74375,98.88659,101.5692,101.9636,100.3952,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1791,8.0,data8,Protective measures,E07000107,Dartford,97.54749,101.9654,100.6478,99.79833,98.03293,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1805,8.0,data8,Protective measures,E07000108,Dover,105.7333,106.6349,108.1028,107.4593,105.297,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1819,8.0,data8,Protective measures,E07000109,Gravesham,99.14517,101.7336,100.5675,100.2922,97.63421,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1833,8.0,data8,Protective measures,E07000110,Maidstone,101.2083,103.9626,105.9458,104.8447,104.1611,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1847,8.0,data8,Protective measures,E07000111,Sevenoaks,105.7149,105.6895,106.3521,106.2919,107.1982,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1861,8.0,data8,Protective measures,E07000112,Folkestone and Hythe,101.2395,103.8893,106.1533,106.1487,103.1834,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1875,8.0,data8,Protective measures,E07000113,Swale,101.906,101.4164,102.8981,103.0595,102.5967,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1889,8.0,data8,Protective measures,E07000114,Thanet,96.02036,99.15798,99.83176,99.44251,98.32712,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1903,8.0,data8,Protective measures,E07000115,Tonbridge and Malling,105.6292,107.3276,109.0977,108.0669,109.6157,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1917,8.0,data8,Protective measures,E07000116,Tunbridge Wells,104.4908,104.0049,105.3015,105.3474,106.0337,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1931,8.0,data8,Protective measures,E07000117,Burnley,90.08405,92.0721,89.55878,91.58295,96.74977,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
1945,8.0,data8,Protective measures,E07000118,Chorley,105.8663,105.1613,106.0305,106.1977,109.3314,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
1959,8.0,data8,Protective measures,E07000119,Fylde,103.4943,102.036,103.7606,104.2141,106.305,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
1973,8.0,data8,Protective measures,E07000120,Hyndburn,90.90698,95.4393,90.36422,91.11806,99.38213,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
1987,8.0,data8,Protective measures,E07000121,Lancaster,98.85788,99.62006,100.1034,96.86783,99.83206,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
2001,8.0,data8,Protective measures,E07000122,Pendle,90.36524,92.7168,91.51123,95.13967,98.45223,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
2015,8.0,data8,Protective measures,E07000123,Preston,92.89749,91.29097,91.69021,91.30492,93.60109,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
2029,8.0,data8,Protective measures,E07000124,Ribble Valley,98.25623,103.7968,105.3535,105.3398,112.0592,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
2043,8.0,data8,Protective measures,E07000125,Rossendale,97.37246,99.42064,97.82546,96.38971,104.5729,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
2057,8.0,data8,Protective measures,E07000126,South Ribble,104.9699,105.8846,105.3522,105.6214,107.6188,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
2071,8.0,data8,Protective measures,E07000127,West Lancashire,102.6493,103.7253,103.5866,103.766,105.4118,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
2085,8.0,data8,Protective measures,E07000128,Wyre,103.5694,103.262,103.9953,103.9151,106.9613,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
2099,8.0,data8,Protective measures,E07000129,Blaby,114.0619,114.6183,111.8543,113.715,113.4849,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
2113,8.0,data8,Protective measures,E07000130,Charnwood,108.2946,110.3936,108.6351,109.6426,106.9983,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
2127,8.0,data8,Protective measures,E07000131,Harborough,114.8336,114.7956,114.1171,113.4217,114.1527,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
2141,8.0,data8,Protective measures,E07000132,Hinckley and Bosworth,110.5164,110.2565,111.3085,110.621,111.9798,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
