,DATANO,DATACD,DATANM,AREACD,AREANM,time1,time2,time3,time4,time5,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,RGN21CD,RGN21NM
1563,2.0,data2,Mortality,E07000087,Fareham,111.1022,109.605,107.3251,107.3304,112.8802,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1577,2.0,data2,Mortality,E07000088,Gosport,96.98483,101.4863,102.1261,99.31707,97.06835,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1591,2.0,data2,Mortality,E07000089,Hart,119.3674,118.9691,119.0528,116.2517,117.0361,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1605,2.0,data2,Mortality,E07000090,Havant,104.458,103.6456,101.5647,100.5854,104.2882,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1619,2.0,data2,Mortality,E07000091,New Forest,112.2316,113.8126,111.6261,113.5973,116.0357,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1633,2.0,data2,Mortality,E07000092,Rushmoor,104.2567,105.6978,103.7652,102.5756,104.8076,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1647,2.0,data2,Mortality,E07000093,Test Valley,109.8587,109.9477,109.7824,110.7628,112.1913,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1661,2.0,data2,Mortality,E07000094,Winchester,112.8412,113.6532,112.603,112.0808,111.6814,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1675,2.0,data2,Mortality,E07000095,Broxbourne,109.6615,112.8561,114.4192,112.2426,108.5989,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
1689,2.0,data2,Mortality,E07000096,Dacorum,111.1702,112.5796,108.7854,109.4202,109.1949,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
1703,2.0,data2,Mortality,E07000098,Hertsmere,108.4932,109.3908,109.5775,108.6648,107.866,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
1717,2.0,data2,Mortality,E07000099,North Hertfordshire,105.4933,106.591,109.6338,109.8606,110.8348,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
1731,2.0,data2,Mortality,E07000102,Three Rivers,113.5482,112.241,112.8809,110.4986,109.9283,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
1745,2.0,data2,Mortality,E07000103,Watford,104.0002,101.0895,98.06759,96.35434,96.31056,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
1759,2.0,data2,Mortality,E07000105,Ashford,106.0485,106.6416,107.862,107.6664,106.1093,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1773,2.0,data2,Mortality,E07000106,Canterbury,105.3663,101.8061,100.0229,100.0831,102.4583,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1787,2.0,data2,Mortality,E07000107,Dartford,96.28508,95.92236,98.01895,99.86938,100.3963,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1801,2.0,data2,Mortality,E07000108,Dover,98.43181,99.1215,95.1991,96.86699,97.6227,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1815,2.0,data2,Mortality,E07000109,Gravesham,101.0346,100.7122,102.0902,101.1237,102.4682,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1829,2.0,data2,Mortality,E07000110,Maidstone,106.5134,107.9453,108.0947,108.3277,108.0419,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1843,2.0,data2,Mortality,E07000111,Sevenoaks,113.1966,114.5561,115.1563,114.7788,114.3082,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1857,2.0,data2,Mortality,E07000112,Folkestone and Hythe,100.8982,100.2117,100.0018,100.1368,97.62468,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1871,2.0,data2,Mortality,E07000113,Swale,99.21924,98.17186,98.17869,98.34058,96.31267,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1885,2.0,data2,Mortality,E07000114,Thanet,95.20282,91.64857,92.37636,91.1663,92.88357,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1899,2.0,data2,Mortality,E07000115,Tonbridge and Malling,111.3943,112.8287,108.6004,106.3257,108.2232,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1913,2.0,data2,Mortality,E07000116,Tunbridge Wells,112.375,112.5627,110.3802,108.9035,111.303,,,,,,,,,,,,,,,,,,,,,,E12000008,South East
1927,2.0,data2,Mortality,E07000117,Burnley,76.44518,80.04412,77.94957,81.02538,79.09692,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
1941,2.0,data2,Mortality,E07000118,Chorley,93.41085,94.79832,95.77572,96.89652,97.74675,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
1955,2.0,data2,Mortality,E07000119,Fylde,101.2014,101.1881,96.90268,99.52426,103.5858,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
1969,2.0,data2,Mortality,E07000120,Hyndburn,86.76715,84.35784,86.59825,83.14276,87.59911,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
1983,2.0,data2,Mortality,E07000121,Lancaster,95.85073,96.42328,98.19707,97.38286,97.37136,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
1997,2.0,data2,Mortality,E07000122,Pendle,88.06268,90.16887,88.34413,88.64919,88.41192,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
2011,2.0,data2,Mortality,E07000123,Preston,91.09742,90.674,88.34611,87.07515,87.58813,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
2025,2.0,data2,Mortality,E07000124,Ribble Valley,104.2393,106.6175,109.1665,107.0342,107.9718,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
2039,2.0,data2,Mortality,E07000125,Rossendale,91.50236,93.99651,96.68463,96.41822,92.92876,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
2053,2.0,data2,Mortality,E07000126,South Ribble,100.8983,102.1399,102.7861,103.6877,104.28,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
2067,2.0,data2,Mortality,E07000127,West Lancashire,100.1474,100.9106,99.38272,97.61539,100.7743,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
2081,2.0,data2,Mortality,E07000128,Wyre,95.9229,95.9332,94.7331,92.7705,95.9475,,,,,,,,,,,,,,,,,,,,,,E12000002,North West
2095,2.0,data2,Mortality,E07000129,Blaby,107.0661,109.8629,112.248,113.3036,114.3593,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
2109,2.0,data2,Mortality,E07000130,Charnwood,104.7448,104.0169,106.2716,104.8951,103.9229,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
2123,2.0,data2,Mortality,E07000131,Harborough,111.1027,113.2665,115.2077,111.9535,111.2338,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
2137,2.0,data2,Mortality,E07000132,Hinckley and Bosworth,107.9134,108.8748,107.9416,109.3905,106.4966,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
2151,2.0,data2,Mortality,E07000133,Melton,106.3348,105.8975,103.0149,102.3812,108.9217,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
2165,2.0,data2,Mortality,E07000134,North West Leicestershire,99.95461,100.2921,100.8518,101.2704,104.6027,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
2179,2.0,data2,Mortality,E07000135,Oadby and Wigston,106.2477,104.682,102.6561,104.3119,105.6643,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
2193,2.0,data2,Mortality,E07000136,Boston,98.92661,95.75609,97.17578,93.81859,96.72302,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
2207,2.0,data2,Mortality,E07000137,East Lindsey,99.92878,98.98905,94.68234,92.86594,94.49948,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
2221,2.0,data2,Mortality,E07000138,Lincoln,94.35681,94.41289,89.69142,87.88417,85.29759,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
2235,2.0,data2,Mortality,E07000139,North Kesteven,109.9437,110.7082,110.6336,110.5003,107.9783,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
